cate_d3,pb_n,cate_size,pb_best_rank,pb_best_id,pb_top1,pb_top3
독립스프링매트리스,2,27,1,3121605,✓,✓
서랍/수납장,8,33,1,3531822,✓,✓
수납침대,6,31,1,3898593,✓,✓
식탁/테이블,6,31,1,3104930,✓,✓
옷장/붙박이장,6,31,1,3553458,✓,✓
일반소파,4,29,1,3955208,✓,✓
일반의자/인테리어의자,2,27,1,3104914,✓,✓
일반침대,2,27,1,3898584,✓,✓
입식화장대,2,27,1,3752130,✓,✓
책상,5,30,1,2954161,✓,✓
책장/책꽂이,4,29,1,3687421,✓,✓
담요,1,26,2,3764904,,✓
러그/카페트,1,26,2,3919961,,✓
홈웨어,1,26,2,4012257,,✓
깔판,1,4,3,3602793,,✓
매트/침대커버,3,28,3,3640210,,✓
본넬스프링매트리스,1,16,3,1089824,,✓
매트,1,26,4,3694022,,
베개/베개솜,3,28,4,3640320,,
사이드테이블,3,23,4,3395897,,
책상서랍장,1,8,4,2281970,,
이불/이불커버,4,29,6,3640123,,
패드/스프레드,3,28,10,3640185,,
전신거울,1,26,11,3615707,,
커튼,1,26,17,3764909,,
드레스룸,1,26,18,3995271,,
수건/타월,1,26,18,3920046,,
욕실잡화,1,26,21,4033595,,
실내화/거실화,1,26,24,3832724,,
