cate_d3,pb_n,p3_n,pb_best_rank,pb_best_id,pb_best_score,1st_id,1st_is_pb,1st_score,pb_min_rank,pb_pct
독립스프링매트리스,2,25,1,3121605,0.9,3121605,1,0.9,1,100.0
식탁/테이블,6,25,1,3104930,0.9,3104930,1,0.9,1,100.0
옷장/붙박이장,6,25,1,3553458,0.9,3553458,1,0.9,1,100.0
서랍/수납장,8,25,1,3531822,0.9,3531822,1,0.9,1,100.0
수납침대,6,25,1,3898593,0.9,3898593,1,0.9,1,100.0
입식화장대,2,25,1,3752130,0.9,3752130,1,0.9,1,100.0
일반소파,4,25,1,3955208,0.9,3955208,1,0.9,1,100.0
일반의자/인테리어의자,2,25,1,3104914,0.9,3104914,1,0.9,1,100.0
일반침대,2,25,1,3898584,0.9,3898584,1,0.9,1,100.0
책상,5,25,1,2954161,0.9,2954161,1,0.9,1,100.0
책장/책꽂이,4,25,1,3687421,0.9,3687421,1,0.9,1,100.0
홈웨어,1,25,2,4012257,0.573,3999937,0,1.0,2,96.2
담요,1,25,2,3764904,0.927,2286827,0,0.994,2,96.2
깔판,1,3,2,3602793,0.742,1651054,0,1.0,2,75.0
매트/침대커버,3,25,2,3640210,0.887,2747132,0,0.906,2,96.4
본넬스프링매트리스,1,15,3,1089824,0.416,872900,0,0.886,3,87.5
베개/베개솜,3,25,4,3640320,0.76,3621662,0,0.999,4,89.3
매트,1,25,4,3694022,0.767,3018283,0,1.0,4,88.5
사이드테이블,3,20,4,3395897,0.759,3758142,0,0.974,4,87.0
이불/이불커버,4,25,6,3640123,0.494,2592740,0,0.943,6,82.8
책상서랍장,1,7,6,2281970,0.224,2197502,0,0.9,6,37.5
패드/스프레드,3,25,10,3640185,0.697,186794,0,0.982,10,67.9
전신거울,1,25,13,3615707,0.492,3641498,0,0.956,13,53.8
수건/타월,1,25,17,3920046,0.56,1745253,0,0.977,17,38.5
커튼,1,25,21,3764909,0.267,506133,0,0.927,21,23.1
욕실잡화,1,25,21,4033595,0.387,2877456,0,0.985,21,23.1
드레스룸,1,25,22,3995271,0.269,2597424,0,0.947,22,19.2
러그/카페트,1,25,24,3919961,0.148,677286,0,0.969,24,11.5
실내화/거실화,1,25,24,3832724,0.242,3646248,0,1.0,24,11.5
