product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_rate_norm,delivery_ontime_norm,cancel_rate_norm
3832724,1,패브릭,실내화/거실화,498,35,315,302,7017600,463,460,3,302,9,0.06566604127579738,0.9935205183585313,0.029801324503311258,0.19324382587521266,0.8419367884832152,0.0
4012257,1,패브릭,홈웨어,248,6,179,165,6349500,240,227,1,165,12,0.023622047244094488,0.9956140350877193,0.07272727272727272,0.7532467532467533,0.9749122807017543,0.9209762538827273
3104941,1,가구,식탁세트,73,14,72,65,77120000,0,0,0,65,5,0.16091954022988506,,0.07692307692307693,1.0,,0.15544785897206836
3694022,1,패브릭,매트,765,37,673,644,30756200,728,713,12,644,25,0.046134663341645885,0.983448275862069,0.03881987577639751,0.5915424381408919,0.9141751426445051,0.2906546154828167
3602793,1,가구,깔판,335,63,257,234,59465960,0,0,0,234,16,0.15829145728643215,,0.06837606837606838,1.0,,0.0
3531815,1,가구,거실장/TV장,50,6,31,30,7010000,0,0,0,30,1,0.10714285714285714,,0.03333333333333333,0.9444207417131605,,0.4309218371036515
4033595,1,생활용품,욕실잡화,95,1,94,93,1277100,94,94,0,93,1,0.010416666666666666,1.0,0.010752688172043012,0.014585022262620071,1.0,0.7174867632126107
3640244,1,패브릭,이불/이불커버,4089,219,2427,2295,218038800,3846,3672,173,2295,114,0.05083565459610028,0.9550065019505852,0.04967320261437908,0.42871710343727015,0.854817905804836,0.5748290706507977
3640123,1,패브릭,이불/이불커버,1201,88,796,742,90463500,1108,1085,13,742,46,0.0682699767261443,0.98816029143898,0.06199460916442048,0.6344724120269427,0.9621279076010321,0.4290147401086114
3918642,1,패브릭,이불/이불커버,994,21,690,665,36244900,964,950,9,665,23,0.020689655172413793,0.9906152241918665,0.03458646616541353,0.1767835193078237,0.9700738722158467,0.8269592476489028
