product_id,is_pb,cate_d1,cate_d3,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,cancel_rate,delivery_ontime,rebuy_rate,rebuy_norm,delivery_norm,score,rank,score2,rank2,score3,rank3
3832724,1,패브릭,실내화/거실화,498,35,315,302,7017600,463,460,3,302,9,0.06566604127579738,0.9935205183585313,0.029801324503311258,0.09343444517700918,0.9031131232404324,0.09343444517700918,25.0,0.3363380485960361,22.0,0.2553701807896938,22.0
4033595,1,생활용품,욕실잡화,95,1,94,93,1277100,94,94,0,93,1,0.010416666666666666,1.0,0.010752688172043012,0.0,1.0,0.0,26.0,0.3,25.0,0.2,26.0
3694022,1,패브릭,매트,765,37,673,644,30756200,728,713,12,644,25,0.046134663341645885,0.983448275862069,0.03881987577639751,0.344866879171414,0.9469870494616944,0.344866879171414,9.0,0.5255029302584981,9.0,0.4652909132294701,9.0
3764904,1,패브릭,담요,1388,56,1275,1207,34405200,1330,1239,91,1207,62,0.038781163434903045,0.9315789473684211,0.05136702568351284,0.5211374483914729,0.3956777418406349,0.5211374483914729,11.0,0.48349953642622145,17.0,0.49604550708130535,13.0
3602793,1,가구,깔판,335,63,257,234,59465960,0,0,0,234,16,0.15829145728643215,,0.06837606837606838,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3104941,1,가구,식탁세트,98,17,96,88,102520000,0,0,0,88,6,0.14782608695652175,,0.06818181818181818,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
4012257,1,패브릭,홈웨어,248,6,179,165,6349500,240,227,1,165,12,0.023622047244094488,0.9956140350877193,0.07272727272727272,0.7526143064471843,0.972355130249867,0.7526143064471843,10.0,0.8185365535879892,9.0,0.7965624712077208,9.0
2957725,1,가구,입식화장대,1728,129,759,735,178194600,0,0,0,735,21,0.06946688206785137,,0.02857142857142857,0.1486728912697022,,0.1486728912697022,7.0,0.25407102388879155,15.0,0.21893831301576178,10.0
3752130,1,가구,입식화장대,312,51,171,151,83690000,0,0,0,151,19,0.14049586776859505,,0.12582781456953643,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3116518,1,가구,입식화장대,160,44,103,91,55780000,0,0,0,91,11,0.21568627450980393,,0.12087912087912088,0.956681948972119,,0.956681948972119,2.0,0.8196773642804833,2.0,0.8653455591776952,2.0
2591870,1,가구,책장/책꽂이,1944,185,1938,1884,239368000,0,0,0,1884,51,0.0868952559887271,,0.027070063694267517,0.14156598205021287,,0.14156598205021287,20.0,0.249096187435149,22.0,0.2132527856401703,20.0
2086290,1,가구,책장/책꽂이,211,25,208,199,24925600,0,0,0,199,9,0.1059322033898305,,0.04522613065326633,0.3388780278074849,,0.3388780278074849,7.0,0.3872146194652394,9.0,0.3711024222459879,7.0
3652512,1,가구,책장/책꽂이,180,20,118,113,23364000,0,0,0,113,3,0.1,,0.02654867256637168,0.13589973559291893,,0.13589973559291893,21.0,0.24512981491504324,23.0,0.20871978847433514,22.0
3687421,1,가구,책장/책꽂이,73,13,73,66,16053900,0,0,0,66,7,0.1511627906976744,,0.10606060606060606,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3640060,1,패브릭,매트/침대커버,1915,37,1721,1672,40799600,1869,1822,40,1672,46,0.018954918032786885,0.9785177228786252,0.02751196172248804,0.03900792653942104,0.8287181917624957,0.03900792653942104,26.0,0.2759210061063434,28.0,0.196949979584036,28.0
3640383,1,패브릭,매트/침대커버,1320,106,1079,1038,49489800,1209,1158,48,1038,40,0.07433380084151472,0.9601990049751243,0.038535645472061654,0.18250300656952237,0.6775419709568776,0.18250300656952237,23.0,0.33101469588572896,24.0,0.2815107994469934,24.0
3640210,1,패브릭,매트/침대커버,365,16,294,275,23316800,349,343,6,275,16,0.04199475065616798,0.9828080229226361,0.05818181818181818,0.4382368600901976,0.8641241273848685,0.4382368600901976,9.0,0.5660030402785989,8.0,0.5234143135491318,9.0
2004298,1,가구,옷장/붙박이장,13930,1986,9010,8337,4816440700,0,0,0,8337,575,0.12478009550138226,,0.06896965335252489,0.6718533862954545,,0.6718533862954545,5.0,0.6202973704068181,4.0,0.6374827090363636,4.0
2472954,1,가구,옷장/붙박이장,2240,338,1858,1722,731059400,0,0,0,1722,114,0.13110938712179984,,0.06620209059233449,0.6358161120276077,,0.6358161120276077,8.0,0.5950712784193254,6.0,0.6086528896220862,6.0
2472952,1,가구,옷장/붙박이장,644,86,570,538,180465800,0,0,0,538,28,0.1178082191780822,,0.05204460966542751,0.4514672580671439,,0.4514672580671439,13.0,0.4660270806470007,11.0,0.4611738064537151,13.0
3538968,1,가구,옷장/붙박이장,514,176,334,304,648778000,0,0,0,304,28,0.25507246376811593,,0.09210526315789473,0.973109179986161,,0.973109179986161,2.0,0.8311764259903127,2.0,0.8784873439889288,2.0
2472958,1,가구,옷장/붙박이장,343,39,309,296,136113400,0,0,0,296,12,0.10209424083769633,,0.04054054054054054,0.30166928411937344,,0.30166928411937344,19.0,0.3611684988835614,19.0,0.34133542729549876,18.0
2472976,1,가구,옷장/붙박이장,280,46,259,245,168224000,0,0,0,245,13,0.1411042944785276,,0.053061224489795916,0.4647049080953596,,0.4647049080953596,12.0,0.47529343566675164,10.0,0.47176392647628773,11.0
3538963,1,가구,옷장/붙박이장,398,112,246,223,401999000,0,0,0,223,21,0.2196078431372549,,0.09417040358744394,1.0,,1.0,1.0,0.85,1.0,0.9,1.0
3538952,1,가구,옷장/붙박이장,273,60,191,179,217517500,0,0,0,179,12,0.18018018018018017,,0.0670391061452514,0.6467151454590464,,0.6467151454590464,6.0,0.6027006018213324,5.0,0.6173721163672371,5.0
3640320,1,패브릭,베개/베개솜,4623,267,3240,3051,75556100,4336,4177,147,3051,171,0.05460122699386503,0.9660037002775208,0.05604719764011799,0.4636992654616561,0.4725440409090205,0.4636992654616561,8.0,0.4663526980958654,23.0,0.465468220551129,15.0
3640153,1,패브릭,베개/베개솜,635,21,468,443,14078200,610,597,13,443,21,0.03201219512195122,0.978688524590164,0.04740406320541761,0.39219140677456693,0.6771581721872884,0.39219140677456693,14.0,0.47768143639838334,20.0,0.44918475985711126,20.0
3918631,1,패브릭,베개/베개솜,319,12,295,286,4967100,306,302,1,286,9,0.03625377643504532,0.9966996699669967,0.03146853146853147,0.260350838962737,0.9676891857649834,0.260350838962737,27.0,0.47255234300341087,21.0,0.4018185083231863,23.0
3508389,1,패브릭,베개/베개솜,168,9,155,141,5085500,158,148,10,141,12,0.05084745762711865,0.9367088607594937,0.0851063829787234,0.7041166897715628,0.0,0.7041166897715628,2.0,0.4928816828400939,18.0,0.5632933518172503,6.0
3508407,1,패브릭,베개/베개솜,84,2,81,81,2677800,81,78,3,81,0,0.023255813953488372,0.9629629629629629,0.0,0.0,0.42349505065666504,0.0,30.0,0.1270485151969995,30.0,0.08469901013133302,30.0
3164222,1,가구,사이드테이블,250,30,249,238,50730000,0,0,0,238,10,0.10714285714285714,,0.04201680672268908,0.5553637185211163,,0.5553637185211163,10.0,0.5387546029647814,15.0,0.544290974816893,12.0
3395897,1,가구,사이드테이블,236,40,236,222,84980000,0,0,0,222,14,0.14492753623188406,,0.06306306306306306,0.8600783769323095,,0.8600783769323095,2.0,0.7520548638526167,3.0,0.7880627015458476,3.0
3395883,1,가구,사이드테이블,121,19,121,114,30500000,0,0,0,114,6,0.1357142857142857,,0.05263157894736842,0.7090479006505026,,0.7090479006505026,7.0,0.6463335304553518,7.0,0.6672383205204021,6.0
3164220,1,가구,사이드테이블,91,14,90,84,17670000,0,0,0,84,5,0.13333333333333333,,0.05952380952380952,0.808835893908125,,0.808835893908125,3.0,0.7161851257356875,4.0,0.7470687151265001,4.0
3104973,1,가구,식탁/테이블,2247,389,2009,1807,793175000,0,0,0,1807,178,0.1475720789074355,,0.09850581073602656,0.6677455308875754,,0.6677455308875754,4.0,0.6174218716213027,4.0,0.6341964247100603,4.0
3104998,1,가구,식탁/테이블,739,149,634,569,318355000,0,0,0,569,57,0.1677927927927928,,0.10017574692442882,0.681366444304279,,0.681366444304279,3.0,0.6269565110129952,3.0,0.6450931554434232,3.0
3104930,1,가구,식탁/테이블,386,91,274,237,223725000,0,0,0,237,32,0.19077568134171907,,0.1350210970464135,0.9655841888400027,,0.9655841888400027,2.0,0.8259089321880019,2.0,0.8724673510720022,2.0
