product_id,is_pb,cate_d1,cate_d3,selling_cost,normal_rows,cancel_rows,orders,buyers,gmv,deliv_total,deliv_normal,deliv_delay,total_buyers,repeat_buyers,review_score,sales_score,spv_score,wish_score,card_score,days,cancel_rate,delivery_ontime,rebuy_rate
3377710,0,패브릭,이불/이불커버,34900.0,4389,145,2649,2573,228771900,4231.0,4150.0,53.0,2573,72,,,,,,,0.03198059108954566,0.9873899595527005,0.027982899339292655
3746337,0,패브릭,이불/이불커버,59900.0,279,9,262,255,25359300,268.0,263.0,0.0,255,7,,,,,,,0.03125,1.0,0.027450980392156862
268911,0,패브릭,이불/이불커버,21900.0,1454,48,1189,1142,75670800,1399.0,1368.0,1.0,1142,43,,,,,,,0.03195739014647137,0.9992695398100804,0.03765323992994746
3047254,0,패브릭,이불/이불커버,43900.0,305,19,231,226,20862700,284.0,283.0,0.0,226,4,,,,,,,0.05864197530864197,1.0,0.017699115044247787
3114203,0,패브릭,이불/이불커버,31900.0,404,25,364,352,14889000,377.0,377.0,0.0,352,9,,,,,,,0.05827505827505827,1.0,0.02556818181818182
826577,0,패브릭,매트/침대커버,24900.0,575,50,428,412,21213500,521.0,518.0,3.0,412,16,,,,,,,0.08,0.9942418426103646,0.038834951456310676
1065728,0,가구,입식화장대,124000.0,2774,194,1972,1944,305061500,2582.0,1634.0,665.0,1944,27,,,,,,,0.06536388140161725,0.7107438016528925,0.013888888888888888
442026,0,패브릭,이불/이불커버,65900.0,1992,104,1381,1349,181519900,1893.0,1729.0,153.0,1349,29,,,,,,,0.04961832061068702,0.9187035069075452,0.021497405485544848
987006,0,패브릭,매트/침대커버,42900.0,967,40,630,614,49319900,928.0,882.0,0.0,614,15,,,,,,,0.039721946375372394,1.0,0.024429967426710098
982702,0,가구,입식화장대,147000.0,2226,144,1544,1520,285113300,2082.0,1622.0,302.0,1520,23,,,,,,,0.060759493670886074,0.843035343035343,0.015131578947368421
3680935,0,가구,입식화장대,153000.0,1114,62,1000,990,155665400,1045.0,442.0,394.0,990,8,,,,,,,0.05272108843537415,0.5287081339712919,0.00808080808080808
