cate_d1,cate,baseline_rank,living_rank,diff
가구,거실장/TV장,1,1,0
가구,깔판,1,1,0
가구,독립스프링매트리스,1,1,0
가구,본넬스프링매트리스,1,1,0
가구,사이드테이블,1,1,0
가구,서랍/수납장,1,1,0
가구,수납침대,1,1,0
가구,식탁/테이블,1,1,0
가구,식탁세트,1,1,0
가구,옷장/붙박이장,1,1,0
가구,일반소파,1,1,0
가구,일반의자/인테리어의자,1,1,0
가구,일반침대,1,1,0
가구,입식화장대,1,1,0
가구,전신거울,1,1,0
가구,책상,1,1,0
가구,책상서랍장,1,1,0
가구,책장/책꽂이,1,1,0
가구,선반,2,1,-1
가구,드레스룸,4,1,-3
생활용품,수건/타월,23,15,-8
생활용품,욕실잡화,25,20,-5
패브릭,매트/침대커버,3,1,-2
패브릭,홈웨어,5,4,-1
패브릭,베개/베개솜,6,2,-4
패브릭,이불/이불커버,7,1,-6
패브릭,매트,11,2,-9
패브릭,패드/스프레드,13,1,-12
패브릭,담요,14,2,-12
패브릭,실내화/거실화,21,9,-12
패브릭,러그/카페트,25,2,-23
패브릭,커튼,25,5,-20
