cate,pb_n,cate_n,rank_90d,top1_90d,top3,rank_365d,top1_365d,pb_n_365,cate_n_365
거실장/TV장,,,,,,4,,1,26
깔판,1.0,4.0,3.0,,✓,1,✓,1,5
담요,1.0,26.0,2.0,,✓,9,,1,26
독립스프링매트리스,2.0,27.0,1.0,✓,✓,1,✓,2,27
드레스룸,1.0,26.0,18.0,,,19,,1,26
러그/카페트,1.0,26.0,2.0,,✓,9,,1,26
매트,1.0,26.0,4.0,,,10,,1,26
매트/침대커버,3.0,28.0,3.0,,✓,3,,3,28
베개/베개솜,3.0,28.0,4.0,,,2,,6,31
본넬스프링매트리스,1.0,16.0,3.0,,✓,8,,1,25
사이드테이블,3.0,23.0,4.0,,,3,,4,29
서랍/수납장,8.0,33.0,1.0,✓,✓,1,✓,9,34
선반,,,,,,11,,2,24
수건/타월,1.0,26.0,18.0,,,26,,1,26
수납침대,6.0,31.0,1.0,✓,✓,1,✓,6,31
식탁/테이블,6.0,31.0,1.0,✓,✓,1,✓,6,31
식탁세트,,,,,,1,✓,1,21
실내화/거실화,1.0,26.0,24.0,,,21,,1,26
옷장/붙박이장,6.0,31.0,1.0,✓,✓,1,✓,7,32
욕실잡화,1.0,26.0,21.0,,,25,,1,26
이불/이불커버,4.0,29.0,6.0,,,8,,7,32
일반소파,4.0,29.0,1.0,✓,✓,1,✓,4,29
일반의자/인테리어의자,2.0,27.0,1.0,✓,✓,1,✓,3,28
일반침대,2.0,27.0,1.0,✓,✓,1,✓,4,29
입식화장대,2.0,27.0,1.0,✓,✓,1,✓,3,28
전신거울,1.0,26.0,11.0,,,1,✓,2,27
책상,5.0,30.0,1.0,✓,✓,1,✓,5,30
책상서랍장,1.0,8.0,4.0,,,2,,1,17
책장/책꽂이,4.0,29.0,1.0,✓,✓,1,✓,4,29
커튼,1.0,26.0,17.0,,,22,,1,26
패드/스프레드,3.0,28.0,10.0,,,7,,5,30
홈웨어,1.0,26.0,2.0,,✓,5,,1,26
